# Exported by NS Web Analytics on 2025-12-18 21:51:58
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,signalStrength,txPower,technology,supportedTechnologies,otaDeviceName,channel,deviceSerialNumber,locationAge,addressType,deviceClass,serviceUuids,companyId
2025-12-18T21:48:27.263428Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,295,7B:CF:40:87:2A:0E,,-67,0,,DUAL,,0,eb2c381c6eea8179,8338,,,,
2025-12-18T21:48:27.259174Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,294,F1:00:2B:06:8A:51,,-83,0,,LE,TY,0,eb2c381c6eea8179,8333,,,,
2025-12-18T21:48:27.236646Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,293,48:E1:5C:72:07:54,,-85,0,,DUAL,,0,eb2c381c6eea8179,8311,,,,
2025-12-18T21:48:27.235348Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,292,4A:4D:01:41:76:3F,,-66,0,,LE,S3-Pro-I-763F,0,eb2c381c6eea8179,8310,,,,
2025-12-18T21:48:27.231392Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,291,A8:51:AB:AE:7C:AB,,-67,0,,DUAL,,0,eb2c381c6eea8179,8306,,,,
2025-12-18T21:48:27.217505Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,290,CB:3B:4B:5F:5E:C1,,-97,0,,LE,LE-Beats Pill,0,eb2c381c6eea8179,8292,,,,
2025-12-18T21:48:07.116276Z,42.152429,-88.025615,196.5,0,11,NS eb2c381c6eea8179 20251218-154456,289,64:B2:87:34:36:18,,-45,0,,DUAL,,0,eb2c381c6eea8179,3186,,,,
2025-12-18T21:48:04.575295Z,42.152429,-88.025615,196.5,0,11,NS eb2c381c6eea8179 20251218-154456,288,42:CA:3F:A3:F3:6C,,-80,0,,DUAL,,0,eb2c381c6eea8179,645,,,,
2025-12-18T21:48:01.42225Z,42.152429,-88.025615,196.5,0,11,NS eb2c381c6eea8179 20251218-154456,287,6C:04:4F:C9:D3:D1,,-43,0,,DUAL,,0,eb2c381c6eea8179,2492,,,,
2025-12-18T21:48:01.087771Z,42.152429,-88.025615,196.5,0,11,NS eb2c381c6eea8179 20251218-154456,286,71:B4:DE:ED:52:EC,,-89,0,,DUAL,,0,eb2c381c6eea8179,2157,,,,
2025-12-18T21:48:00.791682Z,42.152429,-88.025615,196.5,0,11,NS eb2c381c6eea8179 20251218-154456,285,6C:D6:DB:70:B1:B7,,-99,0,,DUAL,,0,eb2c381c6eea8179,1861,,,,
2025-12-18T21:48:00.109628Z,42.152429,-88.025615,196.5,0,11,NS eb2c381c6eea8179 20251218-154456,284,54:92:54:94:66:D0,,-100,0,,DUAL,,0,eb2c381c6eea8179,1179,,,,
2025-12-18T21:47:58.780882Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,283,53:D9:3B:F8:8F:8A,,-70,0,,DUAL,,0,eb2c381c6eea8179,6329,,,,
2025-12-18T21:47:58.511561Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,282,6A:19:B1:05:90:C7,,-82,0,,DUAL,,0,eb2c381c6eea8179,6060,,,,
2025-12-18T21:47:58.500993Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,281,4E:F3:B5:ED:8C:22,,-50,0,,DUAL,,0,eb2c381c6eea8179,6049,,,,
2025-12-18T21:47:58.145701Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,280,98:17:3C:9B:7A:E5,,-69,0,,LE,ihoment_H6008_7AE5,0,eb2c381c6eea8179,5694,,,,
2025-12-18T21:47:57.90891Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,279,C3:76:75:F5:56:92,,-59,0,,LE,Govee_H607C_5692,0,eb2c381c6eea8179,5457,,,,
2025-12-18T21:47:57.888828Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,278,98:17:3C:AA:4E:27,,-62,0,,LE,ihoment_H6008_4E27,0,eb2c381c6eea8179,5437,,,,
2025-12-18T21:47:57.860992Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,277,6B:12:33:BD:33:E2,,-64,0,,DUAL,,0,eb2c381c6eea8179,5409,,,,
2025-12-18T21:47:57.587697Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,276,00:04:EA:3D:7A:F4,,-82,0,,LE,,0,eb2c381c6eea8179,5136,,,,
2025-12-18T21:47:57.576071Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,275,CE:F8:03:86:07:60,,-90,0,,LE,Govee_H6056_0760,0,eb2c381c6eea8179,5124,,,,
2025-12-18T21:47:57.56663Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,274,80:AC:C8:9F:C6:0F,,-92,0,,LE,P031_C60F,0,eb2c381c6eea8179,5115,,,,
2025-12-18T21:47:57.298178Z,42.15243,-88.025616,196.5,0,9,NS eb2c381c6eea8179 20251218-154456,273,6C:15:DB:1D:6D:7B,,-76,0,,BR_EDR,[LG] webOS TV OLED65C5PUA,0,eb2c381c6eea8179,4846,,43c,,
